,Data_accident,Hora_Avis,Via,Data_publicacio,Hora_publicacio,Text_Complet,URL
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>20 de maig de 2018</p>
<p>11.00 h</p>
<p> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180520_acc_Cami_Estela
589," Dissabte, 19 de maig de 2018", 19.05 ," C-12, al punt quilomètric 15",20/05/2018,10:31,"[<div class=""basic_text_peq pd-15 link-dotted""><p> </p>
<p><strong>DIA: Dissabte, 19 de maig de 2018</strong><strong><br/> HORA D'AVÍS: 19.05 h</strong></p>
<p><strong>VIA: C-12, al punt quilomètric 15</strong><strong>1,3</strong><strong> a Corbins (Segrià) en sentit Balaguer</strong></p>
<p> </p>
<p> </p>
<p>El Servei Català de Trànsit informa que ahir a la tarda es va registrar un sinistre viari mortal a la C-12 al punt quilomètric 151,3, al terme municipal de <strong>Corbins (Segrià)</strong> en sentit Balaguer. Els Mossos d’Esquadra van rebre l’avís a les 19.05 h.</p>
<p> </p>
<p>Per causes que encara s'estan investigant, hi va haver una col·lisió entre tres turismes. A conseqüència del xoc, va morir la conductora d’un dels vehicles. Es tracta d’una dona de 48 anys, M.A.B.V, nacionalitat espanyola i veïna de la Sentiu de Sió. A més, una persona més va resultar ferida lleu i la van traslladar a l’Hospital Arnau de Vilanova de Lleida.</p>
<p> </p>
<p>Arran de la incidència, es van activar cinc patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat, que van fer tasques d’excarceració, i una ambulància del Sistema d’Emergències Mèdiques (SEM).</p>
<p> </p>
<p>Pel que fa a l’afectació viària, la via va quedar tallada en els dos sentits de la marxa fins a les 21.23 h.</p>
<p> </p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>20 de maig de 2018</p>
<p>10.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180520_acc_C_12
590, , </strong><strong>21</strong><strong>.</strong><strong>55</strong><strong> , ,17/05/2018,08:56,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: </strong><strong>Dimecres</strong><strong>, </strong><strong>16</strong><strong> de maig de 2018</strong><strong><br/> HORA D'AVÍS: </strong><strong>21</strong><strong>.</strong><strong>55</strong><strong> h</strong></p>
<p><strong>VIA: </strong><strong>N-2</strong><strong>40, al punt quilomètric </strong><strong>85</strong><strong> a </strong><strong>Lleida</strong><strong> (</strong><strong>Segrià</strong><strong>)</strong><strong>, en sentit Torregrossa</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que ahir a la nit es va registrar un sinistre viari mortal a l’N-240 al punt quilomètric 85, al terme municipal de Lleida (Segrià). Els Mossos d’Esquadra van rebre l’avís a les 21.55 h.</p>
<p>Per causes que encara s'estan investigant, es va produir un xoc frontal entre una furgoneta i un turisme. A conseqüència del xoc, el conductor del turisme va  morir. Es tracta d’un home de 22 anys, J.T.J, veí de Madrid i de nacionalitat espanyola. Els dos ocupants de la furgoneta van resultar ferits menys greus i van ser traslladats a l’Hospital Arnau de Vilanova de Lleida.</p>
<p>Arran de la incidència, es van activar tres patrulles dels Mossos d’Esquadra, cinc dotacions dels Bombers de la Generalitat, que van efectuar tasques d’excarceració, i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Pel que fa a l’afectació viària, la via es va tallar en els dos sentits de la marxa i la circulació es va restablir finalment a les 23.55 hores.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>17 de maig de 2018</p>
<p>08.50 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180517_acc_N240
591, Di, </strong><strong>07.47</strong><strong> , ,08/05/2018,17:51,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Di</strong><strong>marts</strong><strong>, </strong><strong>8</strong><strong> de maig de 2018</strong><strong><br/> HORA D'AVÍS: </strong><strong>07.47</strong><strong> h<br/></strong><strong>VIA: </strong><strong>N-340</strong><strong>, al punt quilomètric 1</strong><strong>.</strong><strong>0</strong><strong>6</strong><strong>7</strong><strong>,5</strong><strong>, a </strong><strong>Alcanar </strong><strong>(</strong><strong>Montsià</strong><strong>) </strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal a la N-340 al punt quilomètric 1.067,5, al terme municipal d’Alcanar (Montsià). Els Mossos d’Esquadra han rebut l’avís a les 07.47 h.</p>
<p>Per causes que encara s'estan investigant, hi ha hagut una sortida de via d’un turisme. A conseqüència d’això, el conductor ha resultat ferit crític i ha sigut traslladat a l’Hospital Joan XXIII, on posteriorment ha mort. Es tracta de D.R.T, un home de 47 anys i veí de Barcelona.</p>
<p>Arran de la incidència, s’han activat quatre patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat, que han fet tasques d’excarceració, i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Pel que fa a l’afectació viària, s’ha fet pas alternatiu fins a les 09.55 h, quan s’ha normalitzat la circulació.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p><br/>8 de maig de 2018<br/>17.45 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180508_acc_N340
592,, </strong><strong>20</strong><strong>.</strong><strong>24</strong><strong> ," C-12, al punt quilomètric ",07/05/2018,08:45,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA:</strong><strong> Diumenge</strong><strong>, </strong><strong>6 de maig de </strong><strong>2018</strong><strong><br/> HORA D'AVÍS: </strong><strong>20</strong><strong>.</strong><strong>24</strong><strong> h</strong></p>
<p><strong>VIA: C-12, al punt quilomètric </strong><strong>107</strong><strong>, a </strong><strong>Llardecans </strong><strong>(</strong><strong>Segrià</strong><strong>) </strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que ahir al vespre es va registrar un sinistre viari mortal a la <strong>C-12 al punt quilomètric 107, al terme municipal de Llardecans</strong> <strong>(</strong><strong>Segrià</strong><strong>).</strong> Els Mossos d’Esquadra van rebre l’avís a les 20.24 h.</p>
<p> </p>
<p>Per causes que encara s'estan investigant, hi va haver una col·lisió frontal entre un turisme i una furgoneta. A conseqüència d’això, van morir el conductor del turisme, V.C.G, un home de 50 anys, nacionalitat espanyola i veí d’Alpicat; la passatgera posterior d’aquest vehicle, M.R.H, una dona de 64 anys, nacionalitat espanyola i veïna de Golmés; i el conductor de la furgoneta, E.V.F., un home de 39 anys, nacionalitat espanyola i veí de Lleida. A més, la passatgera davantera del turisme va resultar ferida greu i la van traslladar a l’hospital Arnau de Vilanova de Lleida.     </p>
<p> </p>
<p>Arran de la incidència, es van activar cinc patrulles dels Mossos d’Esquadra, set dotacions dels Bombers de la Generalitat, els quals van fer tasques d’excarceració, i set ambulàncies del Sistema d’Emergències Mèdiques (SEM). El SEM també va donar suport psicològic als familiars de les víctimes.</p>
<p> </p>
<p>Pel que fa a l’afectació viària, es va haver de tallar la C-12 a Llardecans, en tots dos sentits, fins a les 01.50 h, tot i que hi va haver desviaments senyalitzats.</p>
<p> </p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>7 de maig de 2018</p>
<p>08.30 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180507_acc_C_12
593," Dilluns, 30 d’abril de 2018", 16.49 ," C-12, al punt quilomètric 33, a Xerta (Baix Ebre) ",30/04/2018,20:42,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dilluns, 30 d’abril de 2018</strong><strong><br/> </strong><strong>HORA D'AVÍS: 16.49 h</strong></p>
<p><strong>VIA: C-12, al punt quilomètric 33, a Xerta (Baix Ebre) </strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquesta tarda s’ha registrat un sinistre viari mortal a la C-12 al punt quilomètric 33, al terme municipal de Xerta (Baix Ebre). Els Mossos d’Esquadra han rebut l’avís a les 16.49 h.</p>
<p>Per causes que encara s'estan investigant, una furgoneta ha patit una sortida de via i ha caigut per un barranc. A conseqüència del xoc, el conductor i únic ocupant del vehicle ha mort. Es tracta d'A.C.C., de 65 anys, nacionalitat espanyola i veí d’Horta de Sant Joan. </p>
<p>Arran de la incidència, s’han activat dues patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat, els quals han efectuat tasques d’excarceració i una ambulància del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>30 d’abril de 2018</p>
<p>20.45 h</p>
<p>(ACTUALITZAT 1 DE MAIG)</p>
<p><em> </em></p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180430_acc_C12
594," Dilluns, 30 d’abril de 2018", 16.31 ," A-2, al punt quilomètric 603.5, a Santa Coloma de Cervelló (Baix Llobregat) ",30/04/2018,20:31,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dilluns, 30 d’abril de 2018</strong><strong><br/> HORA D'AVÍS: 16.31 h</strong></p>
<p><strong>VIA: A-2, al punt quilomètric 603.5, a Santa Coloma de Cervelló (Baix Llobregat) </strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquesta tarda s’ha registrat un sinistre viari mortal a l’A-2 al punt quilomètric 603.5 al terme municipal de Santa Coloma de Cervelló (Baix Llobregat), en sentit Lleida. Els Mossos d’Esquadra han rebut l’avís a les 16.31 h.</p>
<p>Per causes que encara s'estan investigant, una motocicleta ha atropellat a un vianant i, a conseqüència del xoc, el vianant ha mort. Es tracta d'A.M., de 39 anys, de nacionalitat pakistanesa i veí de Gelida. El conductor de la motocicleta ha resultat ferit menys greu i ha estat traslladat a l’Hospital Moisès Broggi de Sant Joan Despí.</p>
<p>Arran de la incidència, s’han activat tres patrulles dels Mossos d’Esquadra i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Quant a l’afectació viària, s’han tallat dos carrils en el punt de l’accident i s’han registrat fins a 5 km de retencions en sentit Martorell. La circulació s’ha normalitzat deu minuts abans de les set de la tarda.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>30 d’abril de 2018</p>
<p>20.30 h</p>
<p>(ACTUALITZAT 1 DE MAIG)</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180430_acc_A2
595, Di, </strong><strong>23.53</strong><strong> , ,30/04/2018,10:42,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Di</strong><strong>umenge</strong><strong>, 2</strong><strong>9</strong><strong> d’abril de 2018</strong></p>
<p><strong>HORA D'AVÍS: </strong><strong>23.53</strong><strong> h</strong></p>
<p><strong>VIA: </strong><strong>AP-7</strong><strong>, al punt quilomètric </strong><strong>58</strong><strong>, a </strong><strong>Sarrià de Ter</strong><strong> (</strong><strong>Gironès</strong><strong>) </strong></p>
